�rednie kursy EUR Narodowego Banku Polskiego,,,
,,,
Data,Kurs,Zmiana,Nazwa Tabeli
2014-03-20,4.2089,0.06,055/A/NBP/2014
2014-03-21,4.1970,-0.28,056/A/NBP/2014
2014-03-24,4.1990,0.05,057/A/NBP/2014
2014-03-25,4.1910,-0.19,058/A/NBP/2014
2014-03-26,4.1835,-0.18,059/A/NBP/2014
2014-03-27,4.1826,-0.02,060/A/NBP/2014
2014-03-28,4.1677,-0.36,061/A/NBP/2014
2014-03-31,4.1713,0.09,062/A/NBP/2014
2014-04-01,4.1765,0.12,063/A/NBP/2014
2014-04-02,4.1774,0.02,064/A/NBP/2014
2014-04-03,4.1738,-0.09,065/A/NBP/2014
2014-04-04,4.1657,-0.19,066/A/NBP/2014
2014-04-07,4.1748,0.22,067/A/NBP/2014
2014-04-08,4.1684,-0.15,068/A/NBP/2014
2014-04-09,4.1675,-0.02,069/A/NBP/2014
2014-04-10,4.1710,0.08,070/A/NBP/2014
2014-04-11,4.1784,0.18,071/A/NBP/2014
2014-04-14,4.1855,0.17,072/A/NBP/2014
2014-04-15,4.1840,-0.04,073/A/NBP/2014
2014-04-16,4.1925,0.20,074/A/NBP/2014
2014-04-17,4.1968,0.10,075/A/NBP/2014
2014-04-18,4.1820,-0.35,076/A/NBP/2014
2014-04-22,4.1890,0.17,077/A/NBP/2014
2014-04-23,4.1914,0.06,078/A/NBP/2014
2014-04-24,4.1893,-0.05,079/A/NBP/2014
2014-04-25,4.2030,0.33,080/A/NBP/2014
2014-04-28,4.2112,0.20,081/A/NBP/2014
2014-04-29,4.2053,-0.14,082/A/NBP/2014
2014-04-30,4.1994,-0.14,083/A/NBP/2014
2014-05-02,4.1990,-0.01,084/A/NBP/2014
2014-05-05,4.2056,0.16,085/A/NBP/2014
2014-05-06,4.2051,-0.01,086/A/NBP/2014
2014-05-07,4.2003,-0.11,087/A/NBP/2014
2014-05-08,4.1865,-0.33,088/A/NBP/2014
2014-05-09,4.1787,-0.19,089/A/NBP/2014
2014-05-12,4.1797,0.02,090/A/NBP/2014
2014-05-13,4.1815,0.04,091/A/NBP/2014
2014-05-14,4.1828,0.03,092/A/NBP/2014
2014-05-15,4.1824,-0.01,093/A/NBP/2014
2014-05-16,4.1935,0.27,094/A/NBP/2014
2014-05-19,4.1884,-0.12,095/A/NBP/2014
2014-05-20,4.1905,0.05,096/A/NBP/2014
2014-05-21,4.1885,-0.05,097/A/NBP/2014
2014-05-22,4.1755,-0.31,098/A/NBP/2014
2014-05-23,4.1524,-0.55,099/A/NBP/2014
2014-05-26,4.1560,0.09,100/A/NBP/2014
2014-05-27,4.1655,0.23,101/A/NBP/2014
2014-05-28,4.1678,0.06,102/A/NBP/2014
2014-05-29,4.1385,-0.70,103/A/NBP/2014
2014-05-30,4.1420,0.08,104/A/NBP/2014
2014-06-02,4.1355,-0.16,105/A/NBP/2014
2014-06-03,4.1392,0.09,106/A/NBP/2014
2014-06-04,4.1527,0.33,107/A/NBP/2014
2014-06-05,4.1215,-0.75,108/A/NBP/2014
2014-06-06,4.1211,-0.01,109/A/NBP/2014
2014-06-09,4.0998,-0.52,110/A/NBP/2014
2014-06-10,4.1090,0.22,111/A/NBP/2014
2014-06-11,4.1157,0.16,112/A/NBP/2014
2014-06-12,4.1096,-0.15,113/A/NBP/2014
2014-06-13,4.1231,0.33,114/A/NBP/2014
2014-06-16,4.1460,0.56,115/A/NBP/2014
2014-06-17,4.1398,-0.15,116/A/NBP/2014
2014-06-18,4.1463,0.16,117/A/NBP/2014
2014-06-20,4.1506,0.10,118/A/NBP/2014
2014-06-23,4.1603,0.23,119/A/NBP/2014
2014-06-24,4.1587,-0.04,120/A/NBP/2014
2014-06-25,4.1437,-0.36,121/A/NBP/2014
2014-06-26,4.1358,-0.19,122/A/NBP/2014
2014-06-27,4.1528,0.41,123/A/NBP/2014
2014-06-30,4.1609,0.20,124/A/NBP/2014
2014-07-01,4.1550,-0.14,125/A/NBP/2014
2014-07-02,4.1500,-0.12,126/A/NBP/2014
2014-07-03,4.1536,0.09,127/A/NBP/2014
2014-07-04,4.1435,-0.24,128/A/NBP/2014
2014-07-07,4.1472,0.09,129/A/NBP/2014
2014-07-08,4.1401,-0.17,130/A/NBP/2014
2014-07-09,4.1272,-0.31,131/A/NBP/2014
2014-07-10,4.1341,0.17,132/A/NBP/2014
2014-07-11,4.1419,0.19,133/A/NBP/2014
2014-07-14,4.1390,-0.07,134/A/NBP/2014
2014-07-15,4.1433,0.10,135/A/NBP/2014
2014-07-16,4.1310,-0.30,136/A/NBP/2014
2014-07-17,4.1378,0.16,137/A/NBP/2014
2014-07-18,4.1479,0.24,138/A/NBP/2014
2014-07-21,4.1521,0.10,139/A/NBP/2014
2014-07-22,4.1464,-0.14,140/A/NBP/2014
2014-07-23,4.1355,-0.26,141/A/NBP/2014
2014-07-24,4.1398,0.10,142/A/NBP/2014
2014-07-25,4.1459,0.15,143/A/NBP/2014
2014-07-28,4.1470,0.03,144/A/NBP/2014
2014-07-29,4.1524,0.13,145/A/NBP/2014
2014-07-30,4.1517,-0.02,146/A/NBP/2014
2014-07-31,4.1640,0.30,147/A/NBP/2014
2014-08-01,4.1887,0.59,148/A/NBP/2014
2014-08-04,4.1783,-0.25,149/A/NBP/2014
2014-08-05,4.1679,-0.25,150/A/NBP/2014
2014-08-06,4.1940,0.63,151/A/NBP/2014
2014-08-07,4.1990,0.12,152/A/NBP/2014
2014-08-08,4.2184,0.46,153/A/NBP/2014
2014-08-11,4.1998,-0.44,154/A/NBP/2014
2014-08-12,4.2025,0.06,155/A/NBP/2014
2014-08-13,4.1980,-0.11,156/A/NBP/2014
2014-08-14,4.1800,-0.43,157/A/NBP/2014
2014-08-18,4.1951,0.36,158/A/NBP/2014
2014-08-19,4.1871,-0.19,159/A/NBP/2014
2014-08-20,4.1838,-0.08,160/A/NBP/2014
2014-08-21,4.1893,0.13,161/A/NBP/2014
2014-08-22,4.1874,-0.05,162/A/NBP/2014
2014-08-25,4.1814,-0.14,163/A/NBP/2014
2014-08-26,4.1800,-0.03,164/A/NBP/2014
2014-08-27,4.1880,0.19,165/A/NBP/2014
2014-08-28,4.2043,0.39,166/A/NBP/2014
2014-08-29,4.2129,0.20,167/A/NBP/2014
2014-09-01,4.2099,-0.07,168/A/NBP/2014
2014-09-02,4.2120,0.05,169/A/NBP/2014
2014-09-03,4.1937,-0.43,170/A/NBP/2014
2014-09-04,4.2000,0.15,171/A/NBP/2014
2014-09-05,4.1908,-0.22,172/A/NBP/2014
2014-09-08,4.1824,-0.20,173/A/NBP/2014
2014-09-09,4.1978,0.37,174/A/NBP/2014
2014-09-10,4.2070,0.22,175/A/NBP/2014
2014-09-11,4.1935,-0.32,176/A/NBP/2014
2014-09-12,4.1957,0.05,177/A/NBP/2014
2014-09-15,4.2028,0.17,178/A/NBP/2014
2014-09-16,4.1970,-0.14,179/A/NBP/2014
2014-09-17,4.1899,-0.17,180/A/NBP/2014
2014-09-18,4.1880,-0.05,181/A/NBP/2014
2014-09-19,4.1860,-0.05,182/A/NBP/2014
2014-09-22,4.1845,-0.04,183/A/NBP/2014
2014-09-23,4.1775,-0.17,184/A/NBP/2014
2014-09-24,4.1785,0.02,185/A/NBP/2014
2014-09-25,4.1757,-0.07,186/A/NBP/2014
2014-09-26,4.1781,0.06,187/A/NBP/2014
2014-09-29,4.1843,0.15,188/A/NBP/2014
2014-09-30,4.1755,-0.21,189/A/NBP/2014
2014-10-01,4.1792,0.09,190/A/NBP/2014
2014-10-02,4.1780,-0.03,191/A/NBP/2014
2014-10-03,4.1789,0.02,192/A/NBP/2014
2014-10-06,4.1829,0.10,193/A/NBP/2014
2014-10-07,4.1825,-0.01,194/A/NBP/2014
2014-10-08,4.1856,0.07,195/A/NBP/2014
2014-10-09,4.1826,-0.07,196/A/NBP/2014
2014-10-10,4.1795,-0.07,197/A/NBP/2014
2014-10-13,4.1901,0.25,198/A/NBP/2014
2014-10-14,4.1993,0.22,199/A/NBP/2014
2014-10-15,4.2089,0.23,200/A/NBP/2014
2014-10-16,4.2223,0.32,201/A/NBP/2014
2014-10-17,4.2293,0.17,202/A/NBP/2014
2014-10-20,4.2232,-0.14,203/A/NBP/2014
2014-10-21,4.2263,0.07,204/A/NBP/2014
2014-10-22,4.2228,-0.08,205/A/NBP/2014
2014-10-23,4.2280,0.12,206/A/NBP/2014
2014-10-24,4.2245,-0.08,207/A/NBP/2014
2014-10-27,4.2229,-0.04,208/A/NBP/2014
2014-10-28,4.2268,0.09,209/A/NBP/2014
2014-10-29,4.2248,-0.05,210/A/NBP/2014
2014-10-30,4.2280,0.08,211/A/NBP/2014
2014-10-31,4.2043,-0.56,212/A/NBP/2014
2014-11-03,4.2209,0.39,213/A/NBP/2014
2014-11-04,4.2253,0.10,214/A/NBP/2014
2014-11-05,4.2310,0.13,215/A/NBP/2014
2014-11-06,4.2250,-0.14,216/A/NBP/2014
2014-11-07,4.2243,-0.02,217/A/NBP/2014
2014-11-10,4.2163,-0.19,218/A/NBP/2014
2014-11-12,4.2247,0.20,219/A/NBP/2014
2014-11-13,4.2203,-0.10,220/A/NBP/2014
